domain,ip_present,at_present,url_length,url_depth,redirection,https_domain,short_url,prefix/suffix,dns_record,web_traffic,domain_age,domain_end,dot_count,specialchar_count,subdom_count,label
,0,0,0,3,0,0,0,0,0,0,1,1,0,3,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,1,6,0,0,0,0,0,0,1,1,1,5,1,0
,0,0,0,4,0,0,0,0,0,0,1,1,0,3,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,2,0,0,1,0,0,0,1,1,0,2,0,0
,0,0,0,4,0,0,0,0,0,0,1,1,1,3,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,2,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0
,0,0,1,2,0,0,0,0,0,1,1,1,1,5,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,0,4,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,6,0,0,0,0,0,1,1,1,0,5,0,0
,0,0,0,3,0,0,0,0,0,0,1,1,0,3,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,4,0,0,1,0,0,1,1,1,0,4,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0
,0,0,1,3,0,0,0,0,0,1,1,1,1,10,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,2,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,6,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0
,0,0,1,4,0,0,0,0,0,0,1,1,1,3,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0
,0,0,0,3,0,0,1,0,0,0,1,1,1,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,2,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,2,0,0,1,0,0,0,1,1,0,2,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,4,0,0
,0,0,1,2,0,0,1,0,0,1,1,1,1,13,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,2,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,3,0,0,1,0,0,0,1,1,1,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,5,0,0,0,0,0,1,1,1,0,5,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,1,0
,0,0,1,4,0,0,1,0,0,1,1,1,1,4,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,1,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,4,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,1,4,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,1,4,0,0,0,0,0,0,1,1,1,3,0,0
,0,0,1,7,0,0,0,0,0,1,1,1,1,6,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,4,0,0,1,0,0,1,1,1,1,3,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,1,2,0,0
,0,0,0,4,0,0,0,0,0,0,1,1,0,4,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,4,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,4,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,1,0,0
,0,0,1,3,0,0,0,0,0,1,1,1,1,4,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,4,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,0,0
,0,0,0,2,0,0,1,0,0,1,1,1,1,1,0,0
,0,0,0,3,0,0,0,0,0,0,1,1,1,2,0,0
,0,0,0,3,0,0,0,0,0,0,1,1,1,2,0,0
,0,0,1,7,0,0,0,0,0,1,1,1,1,7,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,0
,0,0,1,6,0,0,0,0,0,1,1,1,1,5,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,1,4,0,0,0,0,0,0,1,1,1,4,0,0
,0,0,0,2,0,0,1,0,0,1,1,1,0,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,5,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,3,0,0,1,0,0,0,1,1,1,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,2,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,4,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,5,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,1,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,3,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,2,0,0,1,0,0,0,1,1,1,1,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,1,2,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0
,0,0,0,5,0,0,0,0,0,0,1,1,1,4,1,0
,0,0,1,4,0,0,0,0,0,1,1,1,1,3,0,0
,0,0,0,3,0,0,1,0,0,1,1,1,0,3,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0
,0,0,0,5,0,0,0,0,0,0,1,1,0,4,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0
,0,0,0,3,0,0,0,0,0,0,1,1,0,3,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,1,3,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,1,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,1,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,4,0,0,1,0,0,1,1,1,0,3,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0
,0,0,0,3,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,0,4,0,0,0,0,0,0,1,1,1,3,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,0,4,1,0
,0,0,0,5,0,0,0,0,0,1,1,1,1,5,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,4,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,1,6,0,0,0,0,0,1,1,1,1,5,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,3,0,0,0,0,0,0,1,1,0,6,0,0
,0,0,1,4,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,2,0,0
,0,0,0,3,0,0,0,0,0,0,1,1,1,2,1,0
,0,0,1,6,0,0,0,0,0,1,1,1,0,5,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,4,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,3,0,0,1,0,0,1,1,1,1,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0
,0,0,0,2,0,0,1,0,0,1,1,1,1,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,6,0,0,0,0,0,1,1,1,1,6,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,2,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,3,0,0
,0,0,1,4,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,3,0,0,1,0,0,1,1,1,0,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,6,0,0,0,0,0,0,1,1,1,5,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,1,4,0,0,0,0,0,1,1,1,1,3,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,5,0,0
,0,0,0,3,0,0,1,0,0,0,1,1,1,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0
,0,0,1,6,0,0,0,0,0,0,1,1,1,6,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,1,4,0,0,0,0,0,0,1,1,1,3,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0
,0,0,1,3,0,0,0,0,0,0,1,1,1,5,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,1,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,2,0,0,1,0,0,0,1,1,1,1,0,0
,0,0,0,6,0,0,0,0,0,0,1,1,1,5,0,0
,0,0,1,3,0,0,0,0,0,1,1,1,0,4,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,3,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,3,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0
,0,0,0,5,0,0,0,0,0,1,1,1,1,4,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,4,1,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,0,4,0,0,0,0,0,0,1,1,1,5,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,6,0,0,0,0,0,0,1,1,0,6,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,1,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,6,0,0,0,0,0,0,1,1,1,5,1,0
,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,4,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,2,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,4,0,0,0,0,0,0,1,1,1,4,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,2,0,0
,0,0,0,4,0,0,0,0,0,0,1,1,1,3,0,0
,0,0,1,2,0,0,0,0,0,0,1,1,0,1,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,1,0
,0,0,0,4,0,0,0,0,0,0,1,1,0,4,0,0
,0,0,0,3,0,0,0,0,0,0,1,1,1,2,1,0
,0,0,0,3,0,0,0,0,0,0,1,1,1,2,0,0
,0,0,1,6,0,0,0,0,0,1,1,1,1,6,0,0
,0,0,0,3,0,0,0,0,0,0,1,1,0,3,1,0
,0,0,0,4,0,0,0,0,0,0,1,1,1,3,1,0
,0,0,1,4,0,0,0,0,0,0,1,1,1,3,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,2,0,0,1,0,0,0,1,1,1,1,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,2,0,0
,0,0,0,2,0,0,1,0,0,0,1,1,0,2,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,3,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,2,0,0,1,0,0,1,1,1,0,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,1,6,0,0,0,0,0,1,1,1,1,5,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0
,0,0,0,7,0,0,0,0,0,1,1,1,0,6,0,0
,0,0,0,4,0,0,0,0,0,0,1,1,0,4,0,0
,0,0,0,5,0,0,0,0,0,1,1,1,1,4,0,0
,0,0,1,7,0,0,0,0,0,1,1,1,1,6,1,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,0,0
,0,0,0,2,0,0,1,0,0,1,1,1,0,2,0,0
,0,0,0,4,0,0,1,0,0,1,1,1,1,3,0,0
,0,0,0,3,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,0,5,0,0,0,0,0,1,1,1,1,5,1,0
,0,0,1,3,0,0,0,0,0,1,1,1,1,5,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,3,0,0,0,0,0,0,1,1,1,2,1,0
,0,0,0,5,0,0,1,0,0,1,1,1,0,5,0,0
,0,0,0,3,0,0,0,0,0,0,1,1,1,2,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,3,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,0,0
,0,0,1,6,0,0,0,0,0,1,1,1,1,5,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,1,0
,0,0,0,4,0,0,0,0,0,0,1,1,1,3,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,1,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,4,0,0,0,0,0,1,1,1,0,4,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,4,0,0,0,0,0,0,1,1,1,3,1,0
,0,0,1,4,0,0,0,0,0,1,1,1,1,3,0,0
,0,0,0,4,0,0,0,0,0,0,1,1,1,3,0,0
,0,0,0,3,0,0,0,0,0,0,1,1,0,3,0,0
,0,0,0,4,0,0,0,0,0,0,1,1,1,4,1,0
,0,0,0,3,0,0,0,0,0,0,1,1,0,3,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,2,0,0,1,0,0,1,1,1,1,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,2,0,0
,0,0,0,3,0,0,0,0,0,0,1,1,1,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,2,0,0
,0,0,0,5,0,0,0,0,0,1,1,1,1,4,1,0
,0,0,0,4,0,0,0,0,0,0,1,1,1,3,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,0,0
,0,0,0,4,0,0,0,0,0,0,1,1,0,4,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0
,0,0,0,5,0,0,0,0,0,1,1,1,1,4,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,1,5,0,0,0,0,0,1,1,1,1,5,0,0
,0,0,0,3,0,0,1,0,0,0,1,1,0,2,0,0
,0,0,0,3,0,0,1,0,0,1,1,1,1,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,4,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,0,5,0,0,0,0,0,1,1,1,1,4,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,3,0,0,0,0,0,0,1,1,1,2,1,0
,0,0,1,6,0,0,0,0,0,1,1,1,1,5,1,0
,0,0,0,3,0,0,1,0,0,1,1,1,1,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,0,4,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,4,0,0
,0,0,0,2,0,0,1,0,0,1,1,1,0,2,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,4,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,1,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0
,0,0,0,3,0,0,0,0,0,0,1,1,1,2,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0
,0,0,0,3,0,0,1,0,0,1,1,1,1,2,0,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,1,6,0,0,0,0,0,1,1,1,1,5,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,1,6,0,0,0,0,0,1,1,1,1,5,0,0
,0,0,0,4,0,0,1,0,0,1,1,1,0,4,0,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,3,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,1,2,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,1,5,0,0,0,0,0,1,1,1,1,4,1,0
,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0
,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0
,0,0,0,3,0,0,0,0,0,0,1,1,0,4,0,0
,0,0,0,3,0,0,0,0,0,0,1,1,1,3,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0
,0,0,0,2,0,0,1,0,0,1,1,1,0,2,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,0,0
,0,0,0,4,0,0,0,0,0,1,1,1,1,3,1,0
,0,0,0,2,0,0,0,0,0,1,1,1,1,2,1,0
,0,0,0,3,0,0,0,0,0,1,1,1,0,2,1,0
,0,0,1,5,0,0,0,0,0,1,1,1,1,4,1,0
